filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,label
blues.00000.wav,661794,0.35008812,0.088756569,0.130227923,0.002826696,1784.16585,129774.0645,2002.44906,85882.76132,3805.839606,901505.4255,0.083044821,0.000766946,-4.53E-05,0.008172282,7.78E-06,0.005698182,123.046875,-113.5706482,2564.20752,121.5717926,295.9138184,-19.16814232,235.5744324,42.36642075,151.1068726,-6.364664078,167.9347992,18.62349892,89.18083954,-13.7048912,67.66049194,15.34315014,68.93257904,-12.27410984,82.20420074,10.97657204,63.38631058,-8.326573372,61.77309418,8.803792,51.24412537,-3.6723001,41.21741486,blues
blues.00001.wav,661794,0.340913594,0.094980255,0.09594781,0.002372739,1530.176679,375850.0736,2039.036516,213843.7555,3550.522098,2977893.388,0.056039809,0.001447521,0.000139581,0.005099332,-0.000177608,0.003063172,67.99958882,-207.5016937,7764.555176,123.9912643,560.2599487,8.955126762,572.8109131,35.8776474,264.5061035,2.907319784,279.9329224,21.51046562,156.4770966,-8.560436249,200.8491821,23.37068558,142.555954,-10.09966087,166.1085205,11.90049744,104.3586121,-5.55563879,105.1736298,5.376327038,96.19721222,-2.231760263,64.91429138,blues
blues.00002.wav,661794,0.363637179,0.085275196,0.175570413,0.002745916,1552.811865,156467.6434,1747.702312,76254.19226,3042.260232,784034.4607,0.076291207,0.001006829,2.11E-06,0.016341973,-1.95E-05,0.007457626,161.4990234,-90.72259521,3319.044922,140.4463043,508.7650452,-29.09388924,411.7812195,31.6843338,144.0903168,-13.98450375,155.4937592,25.7647419,74.54840088,-13.66487503,106.9818268,11.63993359,106.5748749,-11.78364277,65.44794464,9.71876049,67.90885925,-13.13380337,57.78142548,5.791199207,64.48020935,-8.907628059,60.38515091,blues
blues.00003.wav,661794,0.404784709,0.093999036,0.141093001,0.006346346,1070.106615,184355.9424,1596.412872,166441.4948,2184.745799,1493194.36,0.033308863,0.000422759,4.58E-07,0.019054487,-1.45E-05,0.002712198,63.02400915,-199.5442047,5507.51709,150.0908966,456.5054016,5.662678242,257.1611633,26.85907936,158.2673035,1.77139926,268.0343933,14.23403072,126.7941284,-4.832006454,155.9120789,9.286494255,81.27374268,-0.759186447,92.11408997,8.137606621,71.31407928,-3.200653315,110.2366867,6.079319,48.2519989,-2.480173826,56.79940033,blues
blues.00004.wav,661794,0.308526039,0.087840982,0.091528714,0.002303398,1835.004266,343399.9393,1748.172116,88445.20904,3579.757627,1572977.832,0.101460539,0.001954125,-1.76E-05,0.004814,-1.01E-05,0.003093899,135.9991776,-160.3377075,5195.291992,126.219635,853.784729,-35.58781052,333.7929382,22.14807129,193.4561005,-32.47859955,336.276825,10.85229397,134.8315735,-23.35232925,93.25709534,0.498433769,124.6721268,-11.793437,130.073349,1.20725584,99.67557526,-13.08841801,80.25406647,-2.813867331,86.43062592,-6.933385372,89.55544281,blues
blues.00005.wav,661794,0.30245629,0.087532379,0.103493638,0.003980508,1831.99394,1030482.37,1729.653287,201910.5086,3481.517592,3274439.958,0.094041534,0.006233196,1.96E-07,0.008082612,-2.65E-05,0.003242044,69.83741554,-177.7742462,7307.416992,118.2054825,3195.212891,-17.56587982,654.3738403,30.76239777,485.74646,-21.74784088,433.4100037,11.92099476,266.3915405,-20.73099518,169.7417297,3.186577797,133.7368469,-8.586038589,172.2293854,-0.932851493,100.1260681,-11.77243423,76.54654694,-2.405832529,78.70781708,-9.343665123,80.29009247,blues
blues.00006.wav,661794,0.291327983,0.093981326,0.141874149,0.008803189,1459.366472,437859.3981,1389.009131,185023.2395,2795.610963,1621442.025,0.073052237,0.001909171,-9.67E-06,0.016923327,-2.24E-05,0.005953942,71.77734375,-190.0523682,9656.535156,130.2890778,1932.795776,-36.36953354,1307.488159,33.02903366,480.3520508,11.10878277,1083.64856,-0.605583489,280.7781372,-20.87185478,152.2630463,0.273024768,102.9159393,-6.486139297,130.9452362,-5.516766548,153.4506531,-7.83975172,87.44084167,-3.128592491,64.2256546,-6.596197128,79.12597656,blues
blues.00007.wav,661794,0.307954788,0.092902876,0.131822184,0.005531143,1451.667066,449568.1625,1577.270941,168211.9388,2954.83676,1629129.972,0.061442246,0.001848816,1.94E-05,0.013223032,-4.81E-05,0.004838658,92.28515625,-179.3471375,6573.921875,136.4690094,1479.24939,-26.67313766,591.631958,39.98424149,352.5464478,5.304416656,650.2316284,10.92861176,136.3041534,-20.56482697,163.7718048,8.511157036,151.2949829,-11.35724926,171.943161,-3.468345881,178.1850739,-8.419937134,147.507843,-6.949715614,83.7183075,-3.539139509,93.3214035,blues
blues.00008.wav,661794,0.40887922,0.086512476,0.142416492,0.001507156,1719.368948,163282.8454,2031.740381,105542.7182,3782.316288,1262916.989,0.064024888,0.000731482,2.26E-06,0.012702081,-1.97E-05,0.003465382,83.35433468,-121.363945,2622.194824,122.5066681,414.5058899,-14.73819637,341.2171326,46.13106537,193.6212769,-8.181879044,177.164032,20.18296242,107.0175705,-19.17337799,57.66452026,23.03913879,77.06928253,-11.83822346,42.60453033,21.15999794,58.66766357,-6.718366146,48.94551086,6.992540836,56.43088531,-12.73059559,61.98458099,blues
blues.00009.wav,661794,0.273950398,0.092315964,0.081313662,0.004346865,1817.150863,298236.1412,1973.773306,114070.1126,3943.490565,1367638.235,0.079174824,0.001377659,-1.66E-06,0.007221407,-2.33E-05,0.001676929,80.74951172,-213.2399902,6133.72168,115.1656036,798.2787476,-11.6934309,668.9616699,39.01427078,350.708374,-20.34127808,531.9755249,13.07760525,278.8181458,-9.173518181,126.7261429,9.011446953,68.01216888,-14.10063362,110.0748901,4.265942097,92.64541626,-6.04616785,84.93377686,3.782206535,104.4496536,0.221799493,76.33885956,blues
blues.00010.wav,661794,0.303993315,0.094702937,0.142865062,0.009200277,1409.955256,205666.8387,1512.310265,145008.8051,2765.900805,1427843.942,0.062958826,0.000441534,-0.000111032,0.021768108,8.67E-05,0.003975489,161.4990234,-173.7924957,8144.119141,137.1867065,1083.690308,-23.72404861,1028.671143,26.9784317,495.5482483,-16.65769577,289.8266296,4.180882454,160.6587372,-12.55992985,150.3272552,5.832184315,82.51726532,-2.874319077,108.608284,-1.19741869,65.78220367,-1.954835176,55.65069199,1.801500678,57.91913605,-2.989647627,93.91384125,blues
